mfc,I_coil,n_e,n_g,n_i,Te,Tg,total_pressure,neutral_pressure,R_ind,Pd,P_RF,J_i,Thrust_i,Thrust_g,Total_Thrust,Ions_Power,Neutrals_Power,Total_Power,gamma,zeta,eta_mass,eta_thruster,IONIZATION,E_IONIZATION,ELASTIC,E_ELASTIC,EXCITATION1,E_EXCITATION1,EXCITATION2,E_EXCITATION2,EXCITATION3,E_EXCITATION3,hL,hR,A_eff_loss,A_eff_wall,A_eff_open,A_n
200,10.5,2.635807537471824e+18,1.4737742254671428e+20,2.6358075374718244e+18,3.798189749665365,0.04529209127195594,2.675630528870428,1.0694579778349664,17.011624277258093,937.7657882838524,1158.2657882838525,477.1992678858601,0.10871314317373974,0.002310029232123527,0.11102317240586326,3777.897600007387,0.6096096758694335,4936.772997967109,0.7653799782244779,0.8948012031569327,0.26328710118926524,0.20151467577502574,6.593020689050056e-16,15.7,1.2141700422611956e-13,0.00015540140423886208,3.590389841264792e-16,11.55,4.558230852688351e-16,13.0,1.6490581359387098e-16,14.0,0.373081937223918,0.21624226448882183,0.01088455700107124,0.007930936888683572,0.002953620112387667,0.030536280592892786
190,10.5,2.526238864281786e+18,1.3958626767783925e+20,2.5262388642817853e+18,3.855807689076458,0.04462526017554934,2.5607334371275132,0.9980076032486762,16.680071515742334,919.4889423052962,1139.9889423052962,466.509034048417,0.10627774773216773,0.0021556964230171408,0.10843344415518488,3693.265012583439,0.5646783937718417,4833.818633282507,0.7641638984019633,0.8929340287420993,0.2709357208525402,0.2070392966630232,7.114266590483405e-16,15.7,1.2314879157039153e-13,0.0001577749744988689,3.7778584240999623e-16,11.55,4.837390217218962e-16,13.0,1.7607379712151078e-16,14.0,0.37768909220493097,0.22085434560949607,0.011040929800215092,0.008050835701136828,0.002990094099078263,0.030536280592892786
180,10.5,2.413860284176824e+18,1.3171058884538235e+20,2.413860284176824e+18,3.922524348585994,0.04397928310523565,2.4470776821262215,0.9280667873239952,16.348756619385384,901.2252086436192,1121.7252086436192,455.31813735722363,0.10372829379100365,0.002004624260619829,0.10573291805162348,3604.6687707264578,0.5212910203511837,4726.915270390428,0.7626940309951932,0.8910007886917521,0.2791272618547844,0.21288869650467634,7.717824886425773e-16,15.7,1.251540536080768e-13,0.00016052336641425813,3.9949310535203287e-16,11.55,5.160632951385561e-16,13.0,1.890053695108941e-16,14.0,0.3824956284777165,0.22577433334178956,0.011205294839666313,0.008177148289397685,0.0030281465502686286,0.030536280592892786
170,10.5,2.2985279690811067e+18,1.237496845408509e+20,2.2985279690811067e+18,4.000555059951944,0.043358000562025135,2.3348238352492405,0.8596541041376605,16.019510617922407,883.0755228129727,1103.5755228129728,443.6006975735659,0.1010588854441008,0.0018568528649373468,0.10291573830903815,3511.903985413544,0.4794411478107014,4615.958949374328,0.76092172072662,0.8890091944000533,0.28794073500897666,0.21910035955031823,8.423736776041173e-16,15.7,1.2749937521779188e-13,0.00016373784054780788,4.2488156427109413e-16,11.55,5.538692354783738e-16,13.0,2.0412992460765568e-16,14.0,0.3875152342245381,0.23103650182736787,0.011378349370223343,0.008310463537478621,0.0030678858327447206,0.030536280592892786
160,10.5,2.181689369561925e+18,1.15799736702915e+20,2.1816893695619272e+18,4.081150086333743,0.04272652658677211,2.221067839895828,0.7927122223091164,15.648510562398618,862.6241447522239,1083.1241447522239,430.9533665295476,0.09817763393538531,0.0017122584001876915,0.09988989233557301,3411.7774244291204,0.43887545109322657,4495.3404446324375,0.7590562587878067,0.8866759892893659,0.29721457642842286,0.2256025844409613,9.236105711400453e-16,15.7,1.2982287247159426e-13,0.00016705795160488563,4.523572936101365e-16,11.55,5.956062052281288e-16,13.0,2.2112744467121754e-16,14.0,0.3926924555925537,0.2365977819841453,0.01155835195544317,0.008449479026746719,0.003108872928696451,0.030536280592892786
150,10.5,2.062731868622405e+18,1.078441988978665e+20,2.062731868622405e+18,4.167981052827074,0.04209426780721747,2.106498095943567,0.7273277240654853,15.245999022885321,840.4356961365534,1060.9356961365534,417.385441140698,0.09508665724151193,0.001571027883981448,0.09665768512549337,3304.362689719438,0.39968565576975723,4365.698071511761,0.7569837220169533,0.8840310731001426,0.30704769899974466,0.23243011002556785,1.0185440770164242e-15,15.7,1.3223811620298667e-13,0.00017063495213325803,4.830741806452793e-16,11.55,6.429657068888742e-16,13.0,2.406648650447338e-16,14.0,0.39805045865855515,0.2425075835885523,0.011746385411044094,0.008595094171411088,0.0031512912396330062,0.030536280592892786
140,10.5,1.9403091974534075e+18,9.981857724796638e+19,1.9403091974534077e+18,4.272680153425617,0.041493342476643054,1.9934554653173548,0.6635905454706004,14.846505937103615,818.4136397828368,1038.9136397828368,403.1074838828796,0.09183392464937183,0.0014333555782164965,0.09326728022758833,3191.3267651332717,0.36204815633193527,4230.602453072441,0.7544289137760192,0.8812810200841056,0.3177259122481287,0.2397016148558505,1.1330130629476897e-15,15.7,1.3515037039772116e-13,0.00017494803021226186,5.201120091487024e-16,11.55,7.000708783377726e-16,13.0,2.6422270879256184e-16,14.0,0.4036511608759457,0.2488686523369363,0.011945012303276051,0.008749381348791479,0.003195630954484574,0.030536280592892786
130,10.5,1.8157383961251937e+18,9.181219353496597e+19,1.8157383961251945e+18,4.387017189709758,0.040889992605176284,1.879236879545733,0.601489138271279,14.407746044839026,794.2270007217513,1014.7270007217513,387.7247516009012,0.0883295077537155,0.0012992165386659625,0.08962872429238146,3069.5445427356826,0.3257716184164535,4084.5973150758505,0.7515723283231636,0.8781063532715336,0.32910917055545,0.24734934558686472,1.2698906702738289e-15,15.7,1.381950092040384e-13,0.00017965814292570273,5.620675532792971e-16,11.55,7.658584760577512e-16,13.0,2.918241970606783e-16,14.0,0.4094416886567873,0.25565056922021306,0.012152692628868221,0.008911219145951164,0.003241473482917057,0.030536280592892786
120,10.5,1.6885955992930465e+18,8.382758526543366e+19,1.6885955992930463e+18,4.5153126504837315,0.04028879217860531,1.76409095221571,0.5411050631028934,13.933630367099614,768.0913739863662,988.5913739863662,371.16285189480567,0.08455645885120014,0.00116878693630225,0.08572524578750239,2938.4270717713575,0.2909046489151495,3927.3093504066387,0.7482776919816602,0.8744793274400492,0.34130532714863643,0.2553911624598271,1.4363018089524593e-15,15.7,1.4146476066606365e-13,0.00018494327275332993,6.107742864912465e-16,11.55,8.433779153232742e-16,13.0,3.248207376024282e-16,14.0,0.4154334048369924,0.26290538078410314,0.0123702720416782,0.009081363259295143,0.003288908782383058,0.030536280592892786
110,10.5,1.5578567177389527e+18,7.58285833811777e+19,1.557856717738952e+18,4.671218999200623,0.039715792807337884,1.6497205738182599,0.48251028245136146,13.44955572628089,741.406759411234,961.906759411234,353.51639901556155,0.08053633248581608,0.0010422222100949403,0.08157855469591102,2798.7233956184314,0.2575521212030698,3760.8877071508687,0.7442341185613477,0.8705464393000087,0.3546309941186303,0.2639284853224133,1.644906497544702e-15,15.7,1.453678535231609e-13,0.0001913658327484258,6.70644236149144e-16,11.55,9.392141558115408e-16,13.0,3.658843009133256e-16,14.0,0.4216706931051723,0.27073725051924225,0.012599932538415607,0.009261644308148426,0.0033382882302671803,0.030536280592892786
