mfc,I_coil,n_e,n_g,n_i,Te,Tg,total_pressure,neutral_pressure,R_ind,Pd,P_RF,J_i,Thrust_i,Thrust_g,Total_Thrust,Ions_Power,Neutrals_Power,Total_Power,gamma,zeta,eta_mass,eta_thruster,IONIZATION,E_IONIZATION,ELASTIC,E_ELASTIC,EXCITATION1,E_EXCITATION1,EXCITATION2,E_EXCITATION2,EXCITATION3,E_EXCITATION3,EXCITATION4,E_EXCITATION4,hL,hR,A_eff_loss,A_eff_wall,A_eff_open,A_n
200,10.5,4.817496519068434e+18,1.9885497000924987e+20,4.817496519068434e+18,2.7588405047286053,0.05247103639771729,3.805132185723199,1.6717313464971273,16.520796938826795,910.708931252827,1131.208931252827,473.5667715737401,0.15625646479261338,0.0036109397084337943,0.15986740450104717,3749.1398042119495,0.7081557055984905,4881.056891170375,0.7682450837032578,0.892013286112585,0.26128292916206186,0.2007293257843406,2.6195444759906026e-16,13.996,1.1690788698436206e-13,5.367416592913108e-05,2.779010700045782e-16,9.915,1.0610201082126834e-16,11.3,1.7646457529227563e-16,11.998,8.306348936992188e-17,12.75,0.34425280140669523,0.1883166653217564,0.009916626225878342,0.007191241004748352,0.0027253852211299888,0.030536280592892786
190,10.5,4.631751798183455e+18,1.885717079630663e+20,4.631751798183455e+18,2.797462076220832,0.051386229955267676,3.632312891540032,1.5525074197356468,16.210304002794075,893.5930081540234,1114.0930081540234,465.37442526244865,0.15355334635230306,0.003353416026628997,0.15690676237893206,3684.282526444164,0.6508179370282363,4799.026352535216,0.7678501999545233,0.890172069631944,0.2702767710211849,0.20753207267167975,2.829191294440377e-16,13.996,1.1862527322364684e-13,5.443266916943704e-05,2.928247710214514e-16,9.915,1.1231234798247415e-16,11.3,1.8764443615860696e-16,11.998,8.946114632180221e-17,12.75,0.3494267087899998,0.19295050290908605,0.010086064722183914,0.0073197186413010516,0.0027663460808828627,0.030536280592892786
180,10.5,4.4400203590384287e+18,1.7811973505949824e+20,4.4400203590384276e+18,2.8423686347429302,0.050326777978472154,3.4618790099854766,1.436221954175099,15.89874611765144,876.4183797355356,1096.9183797355356,456.69185412844826,0.1506884750138839,0.003102239421018214,0.15379071443490214,3615.5442301882704,0.5958316598724529,4713.058441583678,0.7672597542908995,0.888260329139613,0.279969402260483,0.2148092547873482,3.0729544754280085e-16,13.996,1.2062213411458726e-13,5.531460558046206e-05,3.1017704404367653e-16,9.915,1.195333091810048e-16,11.3,2.0064362435486837e-16,11.998,9.689991033925663e-17,12.75,0.35487799450331103,0.19794037300148704,0.010265804001269484,0.007456301108129737,0.0028095028931397477,0.030536280592892786
170,10.5,4.2476744646473226e+18,1.6769549948702248e+20,4.2476744646473226e+18,2.882338270300665,0.04922877829816514,3.2877731435011825,1.322668038668185,15.512279532942777,855.1144092534706,1075.6144092534705,446.93559410129427,0.14746933297743045,0.0028569629635232796,0.15032629594095373,3538.3057392221676,0.542703771570896,4614.4628522472085,0.7669036584118011,0.885794422351599,0.29010541275323054,0.22248290236551807,3.3465442657288325e-16,13.996,1.2229719967080066e-13,5.6099583946515646e-05,3.2737530548523546e-16,9.915,1.268084958159979e-16,11.3,2.1405519139477976e-16,11.998,1.0513557847543287e-16,12.75,0.3604974616555885,0.20318839221111587,0.010452267052614334,0.007598275886133423,0.0028539911664809117,0.030536280592892786
160,10.5,4.049252774562199e+18,1.5714521078284812e+20,4.049252774562199e+18,2.9276366760775976,0.04814808494633885,3.114942439431286,1.2122454469613315,15.111664370181833,833.0304984062735,1053.5304984062736,436.4296556301075,0.14400282961744815,0.0026184501654364766,0.1466212797828846,3455.132183839398,0.49190645560955154,4509.154588701281,0.7663574229532658,0.8831206622141836,0.3009913956200903,0.2306669902785193,3.6672117236500283e-16,13.996,1.2417643759511128e-13,5.698921598982629e-05,3.471948023374171e-16,9.915,1.3521240865417568e-16,11.3,2.2959959389002123e-16,11.998,1.1477156744725822e-16,12.75,0.3664052964869372,0.2088429848834834,0.01064985106472359,0.007749088671770615,0.0029007623929529747,0.030536280592892786
150,10.5,3.8436101469966495e+18,1.4644068889723296e+20,3.843610146996649e+18,2.9817048136457514,0.04709913682999225,2.9444219133408507,1.1050580815577826,14.70774918709212,810.764673938453,1031.2646739384531,425.19264248459774,0.14029510336986856,0.002386925456164811,0.14268202882603337,3366.17084661491,0.44350041494065234,4397.879020968304,0.7655086306327284,0.8802950668217394,0.31279103111435014,0.23944423390254532,4.049960121328569e-16,13.996,1.264194943400941e-13,5.805108001964722e-05,3.708513364682725e-16,9.915,1.4524331167718572e-16,11.3,2.4815337913063676e-16,11.998,1.2627307546719774e-16,12.75,0.37264479018465285,0.21497918500656601,0.010860383875595686,0.007910224574784295,0.0029501593008113905,0.030536280592892786
140,10.5,3.6302988776624195e+18,1.3557880441779583e+20,3.63029887766242e+18,3.0472340190291503,0.04608968235413832,2.7765633434856842,1.0011655763089506,14.302705491658193,788.4366402276579,1008.9366402276579,413.17654661633225,0.13633031366398454,0.002162517644827334,0.13849283130881188,3271.0416567833845,0.397475365656313,4280.3757723766985,0.7642878350216806,0.8773209758942547,0.32566226240380924,0.24889970548086982,4.513841429058628e-16,13.996,1.2913802197466114e-13,5.933803217352285e-05,3.995224532006764e-16,9.915,1.574005106106097e-16,11.3,2.706400941971437e-16,11.998,1.4021261019423347e-16,12.75,0.3792462921546173,0.2216663144337881,0.01108533598431027,0.008082913823668303,0.0030024221606419674,0.030536280592892786
130,10.5,3.4151416413081216e+18,1.2477843466642935e+20,3.4151416413081216e+18,3.1091012642434106,0.04504409208283961,2.604535160829908,0.9005083921235534,13.811881283623132,761.3799557597251,981.8799557597251,399.6900117452766,0.13188034295710752,0.0019450981269868754,0.1338254410840944,3164.271275622691,0.3534346582855454,4146.5046660407015,0.763202978209289,0.873512837332553,0.33926554263470526,0.25892847254259754,5.059193818447891e-16,13.996,1.3152891008383449e-13,6.0553065745454654e-05,4.293233813015222e-16,9.915,1.7021408768030006e-16,11.3,2.949140475678117e-16,11.998,1.5638225050425757e-16,12.75,0.3860807147747137,0.2287970437281905,0.01132057363031071,0.008264044620493788,0.0030565290098169204,0.030536280592892786
120,10.5,3.1918404814476984e+18,1.1387609053556747e+20,3.1918404814476984e+18,3.1839351203982713,0.044034152578300435,2.4342785491801364,0.8034014027443765,13.308831685158676,733.649346644372,954.149346644372,385.0887382066541,0.12706255690967613,0.0017353470299278527,0.128797903939604,3048.675716344073,0.31176679514049566,4003.136829783585,0.7616495795133851,0.8693564576884778,0.35411097070707975,0.26970847194012393,5.734414833763271e-16,13.996,1.3439542370436228e-13,6.20227553563364e-05,4.657662938983999e-16,9.915,1.8590688421578555e-16,11.3,3.2471680666209227e-16,11.998,1.7637709122626825e-16,12.75,0.39329506974507605,0.23658988977179993,0.011571893507624897,0.008458249795078272,0.0031136437125466247,0.030536280592892786
110,10.5,2.9594605819724595e+18,1.0286480288982825e+20,2.95946058197246e+18,3.2780593519393033,0.0430758938245359,2.266695323219458,0.7099233974833038,12.801552712161165,705.6855932578842,926.1855932578842,369.32512212453344,0.12186124831035305,0.0015334345385639365,0.12339468284891698,2923.8781079405203,0.27247777868869105,3850.3361789770934,0.7594533177869313,0.864879040807876,0.3704895602487806,0.2813695257363576,6.591534871760214e-16,13.996,1.37989202155242e-13,6.38712957408091e-05,5.117662053019477e-16,9.915,2.0572491465729976e-16,11.3,3.6239441387556156e-16,11.998,2.0174206420480489e-16,12.75,0.40093027458712543,0.24515987252900906,0.011841521993933216,0.008667431788716692,0.0031740902052165222,0.030536280592892786
