Te,rate,energy,Kdruyv
0.1,3.509464831824598e-14,9.294350014315256e-07,3.342556517339484e-14
0.10722672220103231,3.375408638519979e-14,1.0200209719218392e-06,3.188547901744201e-14
0.11497569953977356,3.240349547052001e-14,1.1171533388525967e-06,3.033379700937433e-14
0.12328467394420663,3.104965193673448e-14,1.221305192108728e-06,2.877878008803556e-14
0.1321941148466029,2.9699809628961607e-14,1.3329838104669059e-06,2.722895438591188e-14
0.1417474162926805,2.8361718177842723e-14,1.4527331323317807e-06,2.569308559483611e-14
0.1519911082952934,2.7043653147605685e-14,1.5811364050254506e-06,2.4180182829247125e-14
0.16297508346206444,2.5754460136248934e-14,1.7188190255337255e-06,2.2699525462087377e-14
0.17475284000076838,2.4503614506999675e-14,1.8664515865452349e-06,2.1260700247954267e-14
0.1873817422860384,2.3301297902075662e-14,2.024753142619316e-06,1.9873639803173956e-14
0.20092330025650468,2.2158492147961084e-14,2.1944947123907814e-06,1.854866533367707e-14
0.2154434690031884,2.108709071324187e-14,2.376503033869304e-06,1.7296549145363464e-14
0.23101297000831597,2.0100027618762686e-14,2.5716645911238395e-06,1.6128619049768476e-14
0.24770763559917108,1.9211423660809072e-14,2.7809299319643696e-06,1.5056924420106748e-14
0.26560877829466867,1.843674992606553e-14,3.0053182976504887e-06,1.4094473497526292e-14
0.2848035868435802,1.779300865767984e-14,3.2459225871761795e-06,1.3255536892988064e-14
0.30538555088334157,1.7298931247107056e-14,3.5039146803096595e-06,1.255599707282147e-14
0.32745491628777285,1.6975192045018672e-14,3.7805511453145245e-06,1.2013712209922209e-14
0.3511191734215131,1.6844634336827182e-14,4.077179359152047e-06,1.1648859308648427e-14
0.3764935806792468,1.6932500806526566e-14,4.395244069973492e-06,1.148422885457577e-14
0.40370172585965547,1.7266654898313357e-14,4.73629443386552e-06,1.154546112110075e-14
0.43287612810830584,1.7877771789341523e-14,5.101991560121633e-06,1.1861238316661062e-14
0.464158883361278,1.8799468767708014e-14,5.4941166017894364e-06,1.2463470104074206e-14
0.49770235643321115,2.006833572744525e-14,5.914579430899253e-06,1.3387526393661497e-14
0.533669923120631,2.1723818749997466e-14,6.3654279406274365e-06,1.4672575884883985e-14
0.5722367659350217,2.380790509937341e-14,6.84885801970117e-06,1.6362075499127193e-14
0.6135907273413173,2.636455815163665e-14,7.367224247625793e-06,1.850441649777723e-14
0.6579332246575681,2.943885721693904e-14,7.9230513628265e-06,2.115366469174908e-14
0.7054802310718644,3.307581072528395e-14,8.519046559560773e-06,2.437024608922911e-14
0.7564633275546289,3.7318831930122235e-14,9.158112673494527e-06,2.822134990350073e-14
0.8111308307896873,4.2207893407750405e-14,9.84336232016321e-06,3.278076946564519e-14
0.8697490026177834,4.777740859027162e-14,1.057813305518019e-05,3.81278772606731e-14
0.9326033468832199,5.405392285480685e-14,1.136600363003133e-05,4.4345411565719085e-14
1.0,6.105372992647462e-14,1.221081142263064e-05,5.151574985031069e-14
1.072267222010323,6.878055750073463e-14,1.3116671127533775e-05,5.971545640354275e-14
1.1497569953977356,7.722348479179397e-14,1.408799479684135e-05,6.90082214227929e-14
1.232846739442066,8.635526034736336e-14,1.5129513329402658e-05,7.943677049368261e-14
1.3219411484660293,9.613117832393926e-14,1.624629951298445e-05,9.101463482027523e-14
1.4174741629268055,1.0648864476117335e-13,1.7443792731633198e-05,1.0371863875397682e-13
1.5199110829529339,1.17347523754514e-13,1.872782545856989e-05,1.1748270595202352e-13
1.6297508346206444,1.2861130052324251e-13,2.0104651663652642e-05,1.3219342249886465e-13
1.7475284000076838,1.4016903961976613e-13,2.1580977273767736e-05,1.4768789877904883e-13
1.8738174228603839,1.5189805819899855e-13,2.316399283450854e-05,1.637547095627181e-13
2.009233002565047,1.636671825281915e-13,2.4861408532223202e-05,1.8013874691579783e-13
2.1544346900318843,1.7534041592666897e-13,2.6681491747008423e-05,1.9655045267333638e-13
2.31012970008316,1.867808215792278e-13,2.8633107319553782e-05,2.1267912777446546e-13
2.4770763559917115,1.9785441567830356e-13,3.072576072795909e-05,2.28209122297639e-13
2.656087782946687,2.0843387465851665e-13,3.296964438482027e-05,2.428370534805172e-13
2.848035868435802,2.1840188275552428e-13,3.5375687280077175e-05,2.562880148682147e-13
3.0538555088334154,2.2765397941104847e-13,3.795560821141197e-05,2.683290340149669e-13
3.2745491628777286,2.361008061721526e-13,4.0721972861460626e-05,2.7877863420670986e-13
3.511191734215131,2.4366969560020884e-13,4.3688254999835855e-05,2.8751203477742056e-13
3.7649358067924674,2.503055865620702e-13,4.6868902108050294e-05,2.9446212035473453e-13
4.037017258596556,2.559712880437952e-13,5.02794057469706e-05,2.9961674302690745e-13
4.328761281083059,2.6064714508911193e-13,5.3936377009531734e-05,3.0301317536437185e-13
4.641588833612779,2.6433018432249665e-13,5.785762742620975e-05,3.0473062298375045e-13
4.977023564332112,2.670328323351224e-13,6.206225571730791e-05,3.0488167081095045e-13
5.3366992312063095,2.6878130828200965e-13,6.657074081458973e-05,3.036034259668576e-13
5.722367659350217,2.696137931939585e-13,7.140504160532708e-05,3.0104897530533994e-13
6.1359072734131725,2.6957847392652376e-13,7.658870388457331e-05,2.9737962212879044e-13
6.5793322465756825,2.687315506887744e-13,8.21469750365804e-05,2.9275821328439263e-13
7.054802310718645,2.67135285063012e-13,8.810692700392313e-05,2.873437193884906e-13
7.56463327554629,2.648561515868634e-13,9.449758814326067e-05,2.8128709720892545e-13
8.111308307896872,2.6196314139672636e-13,0.00010135008460994745,2.747283580578848e-13
8.697490026177835,2.5852625200490896e-13,0.00010869779196011728,2.6779469925480953e-13
